,Unnamed: 0,Reviewer Details, Effectiveness Rating, Ease_of_Use Rating, Satisfaction Rating, Comment,Age,Gender
961,962, [email protected]| 35-44 Male  on Treatment for 2 to less than 5 years (Patient) ,4,4,5,I have been on Methadone for over three years for upper/mid & low back pain. It has given me my quility of life back. I was almost ready to kill myself because of the servere pain. My doctor tried many pain meds & Methadone helped me the most. Thank God I was at my end. But| it does make you itch on warm & hot days so be ware of that.,35-44,Male
962,963, mommy275| 35-44 Female  on Treatment for less than 1 month (Patient) ,4,5,4,I have just been prescribed methadone| have only been taking it for a week. Right now I only take 5mg at night. I also take percocet twice a day. I suffer from chronic pain in both feet for the past 25 years| and have recently been diagnosed with rheumatoid arthritis along with it. My dose will change when I see my doctor again.  I have also been told that my pain will likely never completely go away. Not very cheery news I know.,35-44,Female
963,964, Texankaty1| 45-54 Female  on Treatment for 1 to less than 2 years (Patient) ,4,5,4,I have taken methadone for almost 2 years| 5 mg| 5 times a day.  I only have 3 discs left total in my back and neck.  As long as I take as directed I would say it keeps the edge off of my pain 75% of the time| however my pain is so severe| I do think it is time for an increase.  It is a great drug| but not one to enter into lightly.  It can cause you to itch in hot sunlight or extremely hot days| and I want to sleep and awful lot.,45-54,Female
964,965, FIENDS13| 25-34 Female  on Treatment for 2 to less than 5 years (Patient) ,4,3,3,IF YOU HAVE ENOUGH MONEY ITS EASY TO OBTAIN BUT IF YOU ARE LOW INCOME THEY MAKE IT HARDER ON YOU TO GET YOUR DOSE.,25-34,Female
965,966, [email protected]| 35-44 Female  on Treatment for 1 to less than 2 years (Patient) ,5,5,5,I am in the MMT program and doing well| I think methadone is great for people with pain and addiction| I don't do any other drugs and I can work and take care of my kids thanks to the Methadone program|,35-44,Female
966,967, 45-54 Female  on Treatment for less than 1 month (Patient) ,3,4,4,It has helped alot with the pain of fibromyalgia and the pain that come from diabetes.,45-54,Female
967,968, Nobody | 55-64 Male  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,I injured my back and was put on 15mg methadone a day. Its the best back pain medication there is hands down. I have taken it for 4 years without any problems of any type. An underused pain medication.,55-64,Male
968,969, Marky Mark| 45-54 Male  on Treatment for 5 to less than 10 years (Patient) ,5,5,5,I originally started methadone for heroin addiction. It is now 6 years later and I no longer desire heroin and KNOW that I will never use heroin again.  But I am afraid to detox the methadone because of the horror stories of withdrawal. I was on 100 mg but am now only taking 45 mg. I have been on 45 for over a year and a half. I truly want to get off methadone but don't know how. ||Mark,45-54,Male
969,970, yz450f| 35-44 Male  on Treatment for less than 1 month (Patient) ,1,4,1,y husband took it for a couple of nites to help with pain| withdrawls and to sleep he never woke up again!!! its not a drug to mess around with. he was only 39 left behind a wife 5 kids and 5 grand kids. he never thought it would ever end up this way and now we all miss him more than words could ever say.,35-44,Male
970,971, ej| 19-24 Male  on Treatment for 1 to 6 months (Patient) ,5,5,5,Methadone as helped me & my wife get off drugs & saved our marriage. It helped put life back on track. But we are still working on it & go to groups it helps alottt!!!!,19-24,Male
971,972, KELLYONE123| 25-34 Female  on Treatment for 1 to 6 months (Patient) ,5,5,5,I STARTED TAKING METHADONE 2 MONTHS AGO AND I LIKE IT ALOT. I WAS TAKING VICODEN ES FOR 2 YEARS AND IT JUST DIDNT SEEM TO WORK ANYMORE. MY DOCTOR INFORMED ME OF METHADONE AND AT 1ST I WAS SKEPTICLE| BUT SINCE I HAVE BEEN ON IT MY PAIN LEVEL IS VERY MINIMAL| I SLEEP GREAT AT NIGHT AND IT PUTS ME IN A GREAT MOOD. I HIGHLY RECOMMEND METHADONE TREATMENT FOR ANYONE WHO HAS SEVERE PAIN PROBLEMS. IT HAS HELPED ME OUT IN MORE WAYS THAN ONE. MOST PEOPLE WITH THE SPINAL DISEASE I HAVE CANT WORK ANYMORE. I WORK 9 HOURS A DAY ON MY FEET| LIFTING AND TWISTING ALL DAY.,25-34,Female
972,973, shan| 35-44 Female  on Treatment for 1 to 6 months (Patient) ,4,4,4,works as long you work with the med.you really have to want this.i really think its all a mind thing| you have to make it work|if you want to get off this stuff.,35-44,Female
973,974, brookesgrammy| 45-54 Female  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,I have been using Methadone for about 4 years now and it changed my life. I have severe fibromyalga along with spinal stenosis| degenerative disc disease| and arthritis in both knees so bad that I often have to use a walking stick or cane. I take 70 mg a day usually in 3 doses and this allows me to continue working and to take care of my home. While I no longer can work as a sales rep I can work in the documment dept. since the Methadone does not give me a fog or high associated with other pain meds. My condition had gotten so bad that I was having problems getting in and out of my car and rarely got through an entire day without leaving early. I feel it is very sad that most Dr.s don't understand how effective this drug can be.,45-54,Female
974,975, Amando Gloria| 25-34 Male  on Treatment for 5 to less than 10 years (Patient) ,5,5,5,I Take a 40MG dose once every morning and the medicine will last me all day. It works wonders on my chronic back pain| hips| leg|and foot pain. And it has helped me to function alot better with my daily activities.,25-34,Male
975,976, susan| 45-54 Female  on Treatment for 5 to less than 10 years (Patient) ,2,2,1,want to get off| how long does it take??????? Has anyone ever gotten off???,45-54,Female
976,977, callmemoo69| 25-34 Female  on Treatment for less than 1 month (Patient) ,5,5,5,was a life saver or i would of been very sick coming off of perceset perscribed by my doctor was on for 11 months,25-34,Female
977,978, Ace| 35-44 Male  on Treatment for 2 to less than 5 years (Patient) ,4,4,5,Im a 39 yr. old male in Florida. Ive been on Methadone for 5 years now due to a condition called Cervical Spondyliosis. It took a while to find the right medication (couple years)| I tried practically everything. I didnt want anything with Acetaminophen or Aspirin as long term on those can cause liver damage or even failure.I finally found Methadone and after 6 months of finding the right dose| It's perfect. Im prescribed 50mg. in the morning then 40mg. times 3. Four doses a day totalling 170 mgs. A lot of doctors say that anything over 100 mgs  a day is a waste. Totally untrue!! Ive done a lot of research and have my own experience to invalidate that THEORY. Methadone saved my quality of life.    :-),35-44,Male
978,979, kim| 35-44 Female  on Treatment for 1 to less than 2 years (Patient) ,5,1,5,"Looking over the reviews for methadone maintance therapy I have noticed a few people who have positive reviews  for this medication. My response to those who ""gained weight""| have you tried exercise|eating well ..increasing amt of fiber in your diet? Methadone is not anymore difficult to ""get off of"" than heroin| percocet|oxys|etc..actually its easier.If you have self control and want to live drug free I would recommend this medication to anyone.It is far better than the alternative.Maybe methadone may not be for everyone| we are all individual but if you work with the medication| the medication will work for you.",35-44,Female
979,980, kerry| 55-64 Male  on Treatment for less than 1 month (Patient) ,1,4,1,My treatment is for chronic back pain. I was taking 150mg of oxycodone a day. The doctor who was treating me thought I MIGHT be abusing the drug. As my fiance would testify I was not over using or changing my dose. I was living a very good life style until this happened I'm now on methadone 10mg 3 times a day| neurontin 900mg a day and tramadol 50mg x2 three times a day.,55-64,Male
980,981, [email protected]| 35-44 Female  on Treatment for less than 1 month (Patient) ,4,4,4,This has work very well for me and keeping the pain in check. This is my first time being on thuis med.,35-44,Female
981,982, melhootie| 35-44 Female  on Treatment for 1 to 6 months (Patient) ,4,5,4,I started using methadone for my chronic pain condition known as fibromyalgia after my doctor started all of his patients on long acting pain medications. I was taking opana before the methadone but the opana was extremely costly. The methadone worked on my pain and is way more cheaper than the opana.,35-44,Female
982,983, coyablue2| 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) ,5,5,4,"I suffer from severe Fibromyalgia as well as degenerative disc disease. It took about 10 - 14 days| but following this time frame| (i.e. once the methadone had a chance to build up in my system)|I found it more effective than any other pain drug treatment that I had tried.  And| I've pretty much run the gammet over the past 25yrs.  I was leary in the beginning| I must admit| especially with the reputation that goes along with it.  However| overall I find it to be long lasting (without the typical ""roller-coaster"" affect)| that goes along with most opiod drug treatments; as well as being easy to use. I realize that opiods are very often frowned upon for the treatment especially of fibromyalgia. Therefore| I can really only of course speak from my own positive experience.  Like any chronic pain condition| and mainly with fibromyalgia| eating a well balanced diet| stretching and incorporating mild exercise into your lifestyle is as important to follow through with as the use of whatever prescription medication your doctor has prescribed. And last but not least| while treating your pain with methadone it is extremely important to make sure you get at least a full 8 hours of sleep a night| often with intergrating 1-2 small naps per day as needed.   With methadone| as in the case of any opiod pain management drug treatment| it is essential to take this particular medication exactly as directed.  If you feel that you are experiencing break-through pain that the methadone is not addressing| talk to your doctor about a possible alternate drug for breakthrough pain.  Do not increase your dosage of methadone on your own.  I feel that methadone can| and is for me with my chronic pain issues| a very effectife medication when taken as directed.",35-44,Female
